Kernel IP routing table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
1.0.0.0         1.0.0.40        255.0.0.0       UG    0      0        0 Ethernet1_5
1.0.0.0         0.0.0.0         255.0.0.0       U     0      0        0 Ethernet1_5
2.0.0.0         190.0.1.40      255.0.0.0       UG    1      0        0 Ethernet1_1
3.0.0.0         190.0.2.40      255.0.0.0       UG    1      0        0 Ethernet1_2
4.0.0.0         190.0.2.40      255.0.0.0       UG    2      0        0 Ethernet1_2
5.0.0.0         190.0.4.40      255.0.0.0       UG    1      0        0 Ethernet1_4
6.0.0.0         190.0.4.40      255.0.0.0       UG    2      0        0 Ethernet1_4
7.0.0.0         190.0.2.40      255.0.0.0       UG    2      0        0 Ethernet1_2
8.0.0.0         190.0.2.40      255.0.0.0       UG    3      0        0 Ethernet1_2
9.0.0.0         190.0.4.40      255.0.0.0       UG    3      0        0 Ethernet1_4
10.0.0.0        190.0.4.40      255.0.0.0       UG    4      0        0 Ethernet1_4
10.21.0.0       0.0.0.0         255.255.255.0   U     0      0        0 eth1
11.0.0.0        190.0.4.40      255.0.0.0       UG    2      0        0 Ethernet1_4
12.0.0.0        190.0.2.40      255.0.0.0       UG    3      0        0 Ethernet1_2
13.0.0.0        190.0.4.40      255.0.0.0       UG    4      0        0 Ethernet1_4
14.0.0.0        190.0.4.40      255.0.0.0       UG    5      0        0 Ethernet1_4
15.0.0.0        190.0.4.40      255.0.0.0       UG    3      0        0 Ethernet1_4
16.0.0.0        190.0.4.40      255.0.0.0       UG    4      0        0 Ethernet1_4
17.0.0.0        190.0.4.40      255.0.0.0       UG    6      0        0 Ethernet1_4
18.0.0.0        190.0.4.40      255.0.0.0       UG    7      0        0 Ethernet1_4
19.0.0.0        190.0.4.40      255.0.0.0       UG    5      0        0 Ethernet1_4
20.0.0.0        190.0.4.40      255.0.0.0       UG    4      0        0 Ethernet1_4
21.0.0.0        190.0.4.40      255.0.0.0       UG    7      0        0 Ethernet1_4
22.0.0.0        190.0.4.40      255.0.0.0       UG    8      0        0 Ethernet1_4
23.0.0.0        190.0.4.40      255.0.0.0       UG    6      0        0 Ethernet1_4
24.0.0.0        190.0.4.40      255.0.0.0       UG    7      0        0 Ethernet1_4
25.0.0.0        190.0.4.40      255.0.0.0       UG    9      0        0 Ethernet1_4
26.0.0.0        190.0.4.40      255.0.0.0       UG    9      0        0 Ethernet1_4
27.0.0.0        190.0.4.40      255.0.0.0       UG    8      0        0 Ethernet1_4
28.0.0.0        190.0.1.40      255.0.0.0       UG    7      0        0 Ethernet1_1
29.0.0.0        190.0.4.40      255.0.0.0       UG    7      0        0 Ethernet1_4
30.0.0.0        190.0.4.40      255.0.0.0       UG    8      0        0 Ethernet1_4
31.0.0.0        190.0.1.40      255.0.0.0       UG    6      0        0 Ethernet1_1
32.0.0.0        190.0.4.40      255.0.0.0       UG    5      0        0 Ethernet1_4
33.0.0.0        190.0.4.40      255.0.0.0       UG    6      0        0 Ethernet1_4
34.0.0.0        190.0.4.40      255.0.0.0       UG    6      0        0 Ethernet1_4
35.0.0.0        190.0.1.40      255.0.0.0       UG    5      0        0 Ethernet1_1
36.0.0.0        190.0.4.40      255.0.0.0       UG    5      0        0 Ethernet1_4
37.0.0.0        190.0.1.40      255.0.0.0       UG    4      0        0 Ethernet1_1
38.0.0.0        190.0.4.40      255.0.0.0       UG    5      0        0 Ethernet1_4
39.0.0.0        190.0.1.40      255.0.0.0       UG    5      0        0 Ethernet1_1
40.0.0.0        190.0.2.40      255.0.0.0       UG    4      0        0 Ethernet1_2
41.0.0.0        190.0.1.40      255.0.0.0       UG    3      0        0 Ethernet1_1
42.0.0.0        190.0.4.40      255.0.0.0       UG    3      0        0 Ethernet1_4
43.0.0.0        190.0.1.40      255.0.0.0       UG    4      0        0 Ethernet1_1
44.0.0.0        190.0.2.40      255.0.0.0       UG    4      0        0 Ethernet1_2
45.0.0.0        190.0.1.40      255.0.0.0       UG    3      0        0 Ethernet1_1
46.0.0.0        190.0.1.40      255.0.0.0       UG    2      0        0 Ethernet1_1
47.0.0.0        190.0.1.40      255.0.0.0       UG    4      0        0 Ethernet1_1
48.0.0.0        190.0.2.40      255.0.0.0       UG    3      0        0 Ethernet1_2
190.0.1.0       0.0.0.0         255.255.255.0   U     0      0        0 Ethernet1_1
190.0.1.0       190.0.1.40      255.255.255.0   UG    1      0        0 Ethernet1_1
190.0.1.2       190.0.1.40      255.255.255.255 UGH   0      0        0 Ethernet1_1
190.0.2.0       190.0.2.40      255.255.255.0   UG    0      0        0 Ethernet1_2
190.0.2.0       0.0.0.0         255.255.255.0   U     0      0        0 Ethernet1_2
190.0.2.1       190.0.2.40      255.255.255.255 UGH   0      0        0 Ethernet1_2
190.0.3.0       190.0.3.40      255.255.255.0   UG    0      0        0 Ethernet1_3
190.0.3.0       0.0.0.0         255.255.255.0   U     0      0        0 Ethernet1_3
190.0.3.2       190.0.3.40      255.255.255.255 UGH   0      0        0 Ethernet1_3
190.0.4.0       190.0.4.40      255.255.255.0   UG    0      0        0 Ethernet1_4
190.0.4.0       0.0.0.0         255.255.255.0   U     0      0        0 Ethernet1_4
190.0.4.2       190.0.4.40      255.255.255.255 UGH   0      0        0 Ethernet1_4
190.0.5.0       190.0.1.40      255.255.255.0   UG    1      0        0 Ethernet1_1
190.0.6.0       190.0.1.40      255.255.255.0   UG    1      0        0 Ethernet1_1
